年月,部門,大項目,中項目,単位,区分,値
2025-04,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,10864.0
2025-05,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,11141.0
2025-06,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,9973.0
2025-07,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,10508.0
2025-08,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,13710.0
2025-09,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,10538.0
2025-10,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,10564.0
2025-11,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,10945.0
2025-12,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,11651.0
2026-01,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,11574.0
2026-02,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績,10377.0
2025-04,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,10865.0
2025-05,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11013.0
2025-06,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,10701.0
2025-07,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,10652.0
2025-08,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11426.0
2025-09,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11263.0
2025-10,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11144.0
2025-11,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11115.0
2025-12,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11183.0
2026-01,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11225.0
2026-02,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11177.0
2026-03,宿泊,KPI,ADR（宿泊料/使用客室数）,円,実績累計,11177.0
2025-04,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10540.0
2025-05,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10403.0
2025-06,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,9656.0
2025-07,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10213.0
2025-08,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,12192.0
2025-09,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,9826.0
2025-10,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10285.0
2025-11,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10503.0
2025-12,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10087.0
2026-01,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,10184.0
2026-02,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画,9953.0
2025-04,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10541.0
2025-05,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10470.0
2025-06,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10203.0
2025-07,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10206.0
2025-08,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10613.0
2025-09,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10479.0
2025-10,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10451.0
2025-11,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10458.0
2025-12,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10418.0
2026-01,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10397.0
2026-02,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10356.0
2026-03,宿泊,KPI,ADR（宿泊料/使用客室数）,円,計画累計,10423.0
2025-04,宿泊,KPI,DOR（1室当り人員）,人,実績,1.56
2025-05,宿泊,KPI,DOR（1室当り人員）,人,実績,1.63
2025-06,宿泊,KPI,DOR（1室当り人員）,人,実績,1.5
2025-07,宿泊,KPI,DOR（1室当り人員）,人,実績,1.52
2025-08,宿泊,KPI,DOR（1室当り人員）,人,実績,1.78
2025-09,宿泊,KPI,DOR（1室当り人員）,人,実績,1.55
2025-10,宿泊,KPI,DOR（1室当り人員）,人,実績,1.57
2025-11,宿泊,KPI,DOR（1室当り人員）,人,実績,1.62
2025-12,宿泊,KPI,DOR（1室当り人員）,人,実績,1.59
2026-01,宿泊,KPI,DOR（1室当り人員）,人,実績,1.58
2026-02,宿泊,KPI,DOR（1室当り人員）,人,実績,1.53
2025-04,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.56
2025-05,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.6
2025-06,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.57
2025-07,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.56
2025-08,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.61
2025-09,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.6
2025-10,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.6
2025-11,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.6
2025-12,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.6
2026-01,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.6
2026-02,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.59
2026-03,宿泊,KPI,DOR（1室当り人員）,人,実績累計,1.59
2025-04,宿泊,KPI,DOR（1室当り人員）,人,計画,1.61
2025-05,宿泊,KPI,DOR（1室当り人員）,人,計画,1.59
2025-06,宿泊,KPI,DOR（1室当り人員）,人,計画,1.48
2025-07,宿泊,KPI,DOR（1室当り人員）,人,計画,1.56
2025-08,宿泊,KPI,DOR（1室当り人員）,人,計画,1.86
2025-09,宿泊,KPI,DOR（1室当り人員）,人,計画,1.5
2025-10,宿泊,KPI,DOR（1室当り人員）,人,計画,1.57
2025-11,宿泊,KPI,DOR（1室当り人員）,人,計画,1.6
2025-12,宿泊,KPI,DOR（1室当り人員）,人,計画,1.54
2026-01,宿泊,KPI,DOR（1室当り人員）,人,計画,1.56
2026-02,宿泊,KPI,DOR（1室当り人員）,人,計画,1.52
2025-04,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.61
2025-05,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.6
2025-06,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.56
2025-07,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.56
2025-08,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.62
2025-09,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.6
2025-10,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.6
2025-11,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.6
2025-12,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.59
2026-01,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.59
2026-02,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.58
2026-03,宿泊,KPI,DOR（1室当り人員）,人,計画累計,1.59
2025-04,宿泊,KPI,OCC（客室稼働率）,％,実績,59.1
2025-05,宿泊,KPI,OCC（客室稼働率）,％,実績,66.4
2025-06,宿泊,KPI,OCC（客室稼働率）,％,実績,54.7
2025-07,宿泊,KPI,OCC（客室稼働率）,％,実績,62.8
2025-08,宿泊,KPI,OCC（客室稼働率）,％,実績,80.4
2025-09,宿泊,KPI,OCC（客室稼働率）,％,実績,73.9
2025-10,宿泊,KPI,OCC（客室稼働率）,％,実績,79.5
2025-11,宿泊,KPI,OCC（客室稼働率）,％,実績,85.1
2025-12,宿泊,KPI,OCC（客室稼働率）,％,実績,80.9
2026-01,宿泊,KPI,OCC（客室稼働率）,％,実績,78.8
2026-02,宿泊,KPI,OCC（客室稼働率）,％,実績,82.7
2025-04,宿泊,KPI,OCC（客室稼働率）,%,実績累計,59.1
2025-05,宿泊,KPI,OCC（客室稼働率）,%,実績累計,62.8
2025-06,宿泊,KPI,OCC（客室稼働率）,%,実績累計,60.1
2025-07,宿泊,KPI,OCC（客室稼働率）,%,実績累計,60.8
2025-08,宿泊,KPI,OCC（客室稼働率）,%,実績累計,64.8
2025-09,宿泊,KPI,OCC（客室稼働率）,%,実績累計,66.3
2025-10,宿泊,KPI,OCC（客室稼働率）,%,実績累計,68.2
2025-11,宿泊,KPI,OCC（客室稼働率）,%,実績累計,70.3
2025-12,宿泊,KPI,OCC（客室稼働率）,%,実績累計,71.5
2026-01,宿泊,KPI,OCC（客室稼働率）,%,実績累計,72.2
2026-02,宿泊,KPI,OCC（客室稼働率）,%,実績累計,72.7
2026-03,宿泊,KPI,OCC（客室稼働率）,%,実績累計,72.7
2025-04,宿泊,KPI,OCC（客室稼働率）,％,計画,77.4
2025-05,宿泊,KPI,OCC（客室稼働率）,％,計画,80.3
2025-06,宿泊,KPI,OCC（客室稼働率）,％,計画,78.3
2025-07,宿泊,KPI,OCC（客室稼働率）,％,計画,80.8
2025-08,宿泊,KPI,OCC（客室稼働率）,％,計画,79.8
2025-09,宿泊,KPI,OCC（客室稼働率）,％,計画,82.5
2025-10,宿泊,KPI,OCC（客室稼働率）,％,計画,79.9
2025-11,宿泊,KPI,OCC（客室稼働率）,％,計画,89.9
2025-12,宿泊,KPI,OCC（客室稼働率）,％,計画,77.3
2026-01,宿泊,KPI,OCC（客室稼働率）,％,計画,74.3
2026-02,宿泊,KPI,OCC（客室稼働率）,％,計画,87.8
2025-04,宿泊,KPI,OCC（客室稼働率）,%,計画累計,77.4
2025-05,宿泊,KPI,OCC（客室稼働率）,%,計画累計,78.9
2025-06,宿泊,KPI,OCC（客室稼働率）,%,計画累計,78.7
2025-07,宿泊,KPI,OCC（客室稼働率）,%,計画累計,79.2
2025-08,宿泊,KPI,OCC（客室稼働率）,%,計画累計,79.3
2025-09,宿泊,KPI,OCC（客室稼働率）,%,計画累計,79.9
2025-10,宿泊,KPI,OCC（客室稼働率）,%,計画累計,79.9
2025-11,宿泊,KPI,OCC（客室稼働率）,%,計画累計,81.1
2025-12,宿泊,KPI,OCC（客室稼働率）,%,計画累計,80.7
2026-01,宿泊,KPI,OCC（客室稼働率）,%,計画累計,80.0
2026-02,宿泊,KPI,OCC（客室稼働率）,%,計画累計,80.7
2026-03,宿泊,KPI,OCC（客室稼働率）,%,計画累計,80.8
2025-04,宿泊,KPI,RevPAR(OCC*ADR),円,実績,6421.0
2025-05,宿泊,KPI,RevPAR(OCC*ADR),円,実績,7398.0
2025-06,宿泊,KPI,RevPAR(OCC*ADR),円,実績,5455.0
2025-07,宿泊,KPI,RevPAR(OCC*ADR),円,実績,6599.0
2025-08,宿泊,KPI,RevPAR(OCC*ADR),円,実績,11023.0
2025-09,宿泊,KPI,RevPAR(OCC*ADR),円,実績,7788.0
2025-10,宿泊,KPI,RevPAR(OCC*ADR),円,実績,8398.0
2025-11,宿泊,KPI,RevPAR(OCC*ADR),円,実績,9314.0
2025-12,宿泊,KPI,RevPAR(OCC*ADR),円,実績,9426.0
2026-01,宿泊,KPI,RevPAR(OCC*ADR),円,実績,9120.0
2026-02,宿泊,KPI,RevPAR(OCC*ADR),円,実績,8582.0
2025-04,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,6416.0
2025-05,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,6916.0
2025-06,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,6435.0
2025-07,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,6474.0
2025-08,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,7401.0
2025-09,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,7465.0
2025-10,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,7601.0
2025-11,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,7813.0
2025-12,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,7995.0
2026-01,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,8107.0
2026-02,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,8131.0
2026-03,宿泊,KPI,RevPAR(OCC*ADR),円,実績累計,8131.0
2025-04,宿泊,KPI,RevPAR(OCC*ADR),円,計画,8158.0
2025-05,宿泊,KPI,RevPAR(OCC*ADR),円,計画,8354.0
2025-06,宿泊,KPI,RevPAR(OCC*ADR),円,計画,7561.0
2025-07,宿泊,KPI,RevPAR(OCC*ADR),円,計画,8252.0
2025-08,宿泊,KPI,RevPAR(OCC*ADR),円,計画,9729.0
2025-09,宿泊,KPI,RevPAR(OCC*ADR),円,計画,8106.0
2025-10,宿泊,KPI,RevPAR(OCC*ADR),円,計画,8218.0
2025-11,宿泊,KPI,RevPAR(OCC*ADR),円,計画,9442.0
2025-12,宿泊,KPI,RevPAR(OCC*ADR),円,計画,7797.0
2026-01,宿泊,KPI,RevPAR(OCC*ADR),円,計画,7567.0
2026-02,宿泊,KPI,RevPAR(OCC*ADR),円,計画,8739.0
2025-04,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8158.0
2025-05,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8257.0
2025-06,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8029.0
2025-07,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8084.0
2025-08,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8420.0
2025-09,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8369.0
2025-10,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8347.0
2025-11,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8481.0
2025-12,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8404.0
2026-01,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8322.0
2026-02,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8357.0
2026-03,宿泊,KPI,RevPAR(OCC*ADR),円,計画累計,8427.0
2025-04,宿泊,KPI,使用客室数,部屋,実績,815.0
2025-05,宿泊,KPI,使用客室数,部屋,実績,947.0
2025-06,宿泊,KPI,使用客室数,部屋,実績,755.0
2025-07,宿泊,KPI,使用客室数,部屋,実績,866.0
2025-08,宿泊,KPI,使用客室数,部屋,実績,1146.0
2025-09,宿泊,KPI,使用客室数,部屋,実績,1020.0
2025-10,宿泊,KPI,使用客室数,部屋,実績,1134.0
2025-11,宿泊,KPI,使用客室数,部屋,実績,1175.0
2025-12,宿泊,KPI,使用客室数,部屋,実績,1153.0
2026-01,宿泊,KPI,使用客室数,部屋,実績,1088.0
2026-02,宿泊,KPI,使用客室数,部屋,実績,609.0
2026-03,宿泊,KPI,使用客室数,部屋,実績,0.0
2025-04,宿泊,KPI,使用客室数,部屋,実績累計,815.0
2025-05,宿泊,KPI,使用客室数,部屋,実績累計,1762.0
2025-06,宿泊,KPI,使用客室数,部屋,実績累計,2517.0
2025-07,宿泊,KPI,使用客室数,部屋,実績累計,3383.0
2025-08,宿泊,KPI,使用客室数,部屋,実績累計,4529.0
2025-09,宿泊,KPI,使用客室数,部屋,実績累計,5549.0
2025-10,宿泊,KPI,使用客室数,部屋,実績累計,6683.0
2025-11,宿泊,KPI,使用客室数,部屋,実績累計,7858.0
2025-12,宿泊,KPI,使用客室数,部屋,実績累計,9011.0
2026-01,宿泊,KPI,使用客室数,部屋,実績累計,10099.0
2026-02,宿泊,KPI,使用客室数,部屋,実績累計,10708.0
2026-03,宿泊,KPI,使用客室数,部屋,実績累計,10708.0
2025-04,宿泊,KPI,使用客室数,部屋,計画,1068.0
2025-05,宿泊,KPI,使用客室数,部屋,計画,1145.0
2025-06,宿泊,KPI,使用客室数,部屋,計画,1081.0
2025-07,宿泊,KPI,使用客室数,部屋,計画,1115.0
2025-08,宿泊,KPI,使用客室数,部屋,計画,1138.0
2025-09,宿泊,KPI,使用客室数,部屋,計画,1139.0
2025-10,宿泊,KPI,使用客室数,部屋,計画,1139.0
2025-11,宿泊,KPI,使用客室数,部屋,計画,1240.0
2025-12,宿泊,KPI,使用客室数,部屋,計画,1103.0
2026-01,宿泊,KPI,使用客室数,部屋,計画,1025.0
2026-02,宿泊,KPI,使用客室数,部屋,計画,1131.0
2026-03,宿泊,KPI,使用客室数,部屋,計画,1176.0
2025-04,宿泊,KPI,使用客室数,部屋,計画累計,1068.0
2025-05,宿泊,KPI,使用客室数,部屋,計画累計,2213.0
2025-06,宿泊,KPI,使用客室数,部屋,計画累計,3294.0
2025-07,宿泊,KPI,使用客室数,部屋,計画累計,4409.0
2025-08,宿泊,KPI,使用客室数,部屋,計画累計,5547.0
2025-09,宿泊,KPI,使用客室数,部屋,計画累計,6686.0
2025-10,宿泊,KPI,使用客室数,部屋,計画累計,7825.0
2025-11,宿泊,KPI,使用客室数,部屋,計画累計,9065.0
2025-12,宿泊,KPI,使用客室数,部屋,計画累計,10168.0
2026-01,宿泊,KPI,使用客室数,部屋,計画累計,11193.0
2026-02,宿泊,KPI,使用客室数,部屋,計画累計,12324.0
2026-03,宿泊,KPI,使用客室数,部屋,計画累計,13500.0
2025-04,宿泊,KPI,定員稼働率,％,実績,48.1
2025-05,宿泊,KPI,定員稼働率,％,実績,56.6
2025-06,宿泊,KPI,定員稼働率,％,実績,42.8
2025-07,宿泊,KPI,定員稼働率,％,実績,50.0
2025-08,宿泊,KPI,定員稼働率,％,実績,74.9
2025-09,宿泊,KPI,定員稼働率,％,実績,60.1
2025-10,宿泊,KPI,定員稼働率,％,実績,65.2
2025-11,宿泊,KPI,定員稼働率,％,実績,71.9
2025-12,宿泊,KPI,定員稼働率,％,実績,67.3
2026-01,宿泊,KPI,定員稼働率,％,実績,65.3
2026-02,宿泊,KPI,定員稼働率,％,実績,66.0
2025-04,宿泊,KPI,定員稼働率,%,実績累計,48.1
2025-05,宿泊,KPI,定員稼働率,%,実績累計,52.4
2025-06,宿泊,KPI,定員稼働率,%,実績累計,49.3
2025-07,宿泊,KPI,定員稼働率,%,実績累計,49.4
2025-08,宿泊,KPI,定員稼働率,%,実績累計,54.6
2025-09,宿泊,KPI,定員稼働率,%,実績累計,55.5
2025-10,宿泊,KPI,定員稼働率,%,実績累計,56.9
2025-11,宿泊,KPI,定員稼働率,%,実績累計,58.8
2025-12,宿泊,KPI,定員稼働率,%,実績累計,59.8
2026-01,宿泊,KPI,定員稼働率,%,実績累計,60.3
2026-02,宿泊,KPI,定員稼働率,%,実績累計,60.6
2026-03,宿泊,KPI,定員稼働率,%,実績累計,60.6
2025-04,宿泊,KPI,定員稼働率,％,計画,65.2
2025-05,宿泊,KPI,定員稼働率,％,計画,66.7
2025-06,宿泊,KPI,定員稼働率,％,計画,60.4
2025-07,宿泊,KPI,定員稼働率,％,計画,65.9
2025-08,宿泊,KPI,定員稼働率,％,計画,77.7
2025-09,宿泊,KPI,定員稼働率,％,計画,64.8
2025-10,宿泊,KPI,定員稼働率,％,計画,65.6
2025-11,宿泊,KPI,定員稼働率,％,計画,75.4
2025-12,宿泊,KPI,定員稼働率,％,計画,62.3
2026-01,宿泊,KPI,定員稼働率,％,計画,60.4
2026-02,宿泊,KPI,定員稼働率,％,計画,69.8
2025-04,宿泊,KPI,定員稼働率,%,計画累計,65.2
2025-05,宿泊,KPI,定員稼働率,%,計画累計,65.9
2025-06,宿泊,KPI,定員稼働率,%,計画累計,64.1
2025-07,宿泊,KPI,定員稼働率,%,計画累計,64.6
2025-08,宿泊,KPI,定員稼働率,%,計画累計,67.2
2025-09,宿泊,KPI,定員稼働率,%,計画累計,66.8
2025-10,宿泊,KPI,定員稼働率,%,計画累計,66.7
2025-11,宿泊,KPI,定員稼働率,%,計画累計,67.7
2025-12,宿泊,KPI,定員稼働率,%,計画累計,67.1
2026-01,宿泊,KPI,定員稼働率,%,計画累計,66.5
2026-02,宿泊,KPI,定員稼働率,%,計画累計,66.7
2026-03,宿泊,KPI,定員稼働率,%,計画累計,67.3
2025-04,宿泊,KPI,（宿泊料+食事料）,円,実績,8224.835303388494
2025-05,宿泊,KPI,（宿泊料+食事料）,円,実績,8289.293851132687
2025-06,宿泊,KPI,（宿泊料+食事料）,円,実績,8130.6769911504425
2025-07,宿泊,KPI,（宿泊料+食事料）,円,実績,8052.425
2025-08,宿泊,KPI,（宿泊料+食事料）,円,実績,8841.714145863925
2025-09,宿泊,KPI,（宿泊料+食事料）,円,実績,8269.601513240857
2025-10,宿泊,KPI,（宿泊料+食事料）,円,実績,8118.508426966292
2025-11,宿泊,KPI,（宿泊料+食事料）,円,実績,8304.90727081138
2025-12,宿泊,KPI,（宿泊料+食事料）,円,実績,9233.376156777354
2026-01,宿泊,KPI,（宿泊料+食事料）,円,実績,9666.12354988399
2026-02,宿泊,KPI,（宿泊料+食事料）,円,実績,8334.575888051668
2025-04,宿泊,KPI,（宿泊料+食事料）,円,実績累計,8224.835303388494
2025-05,宿泊,KPI,（宿泊料+食事料）,円,実績累計,16514.12915452118
2025-06,宿泊,KPI,（宿泊料+食事料）,円,実績累計,24644.80614567162
2025-07,宿泊,KPI,（宿泊料+食事料）,円,実績累計,32697.23114567162
2025-08,宿泊,KPI,（宿泊料+食事料）,円,実績累計,41538.94529153554
2025-09,宿泊,KPI,（宿泊料+食事料）,円,実績累計,49808.5468047764
2025-10,宿泊,KPI,（宿泊料+食事料）,円,実績累計,57927.05523174269
2025-11,宿泊,KPI,（宿泊料+食事料）,円,実績累計,66231.96250255407
2025-12,宿泊,KPI,（宿泊料+食事料）,円,実績累計,75465.33865933144
2026-01,宿泊,KPI,（宿泊料+食事料）,円,実績累計,85131.46220921543
2026-02,宿泊,KPI,（宿泊料+食事料）,円,実績累計,93466.0380972671
2025-04,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725578
2025-05,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725577
2025-06,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.35029438075
2025-07,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725577
2025-08,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725577
2025-09,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725578
2025-10,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725577
2025-11,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725577
2025-12,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725577
2026-01,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.35029438075
2026-02,宿泊,KPI,（宿泊料+食事料）,円,計画,8044.729604725578
2025-04,宿泊,KPI,（宿泊料+食事料）,円,計画累計,8044.729604725578
2025-05,宿泊,KPI,（宿泊料+食事料）,円,計画累計,16089.459209451154
2025-06,宿泊,KPI,（宿泊料+食事料）,円,計画累計,24133.809503831904
2025-07,宿泊,KPI,（宿泊料+食事料）,円,計画累計,32178.53910855748
2025-08,宿泊,KPI,（宿泊料+食事料）,円,計画累計,40223.26871328306
2025-09,宿泊,KPI,（宿泊料+食事料）,円,計画累計,48267.99831800864
2025-10,宿泊,KPI,（宿泊料+食事料）,円,計画累計,56312.72792273422
2025-11,宿泊,KPI,（宿泊料+食事料）,円,計画累計,64357.4575274598
2025-12,宿泊,KPI,（宿泊料+食事料）,円,計画累計,72402.18713218538
2026-01,宿泊,KPI,（宿泊料+食事料）,円,計画累計,80446.53742656614
2026-02,宿泊,KPI,（宿泊料+食事料）,円,計画累計,88491.26703129172
2025-04,宿泊,営業状況,営業日数,日,実績,30.0
2025-05,宿泊,営業状況,営業日数,日,実績,31.0
2025-06,宿泊,営業状況,営業日数,日,実績,30.0
2025-07,宿泊,営業状況,営業日数,日,実績,30.0
2025-08,宿泊,営業状況,営業日数,日,実績,31.0
2025-09,宿泊,営業状況,営業日数,日,実績,30.0
2025-10,宿泊,営業状況,営業日数,日,実績,31.0
2025-11,宿泊,営業状況,営業日数,日,実績,30.0
2025-12,宿泊,営業状況,営業日数,日,実績,31.0
2026-01,宿泊,営業状況,営業日数,日,実績,30.0
2026-02,宿泊,営業状況,営業日数,日,実績,16.0
2026-03,宿泊,営業状況,営業日数,日,実績,0.0
2025-04,宿泊,営業状況,営業日数,日,実績累計,30.0
2025-05,宿泊,営業状況,営業日数,日,実績累計,61.0
2025-06,宿泊,営業状況,営業日数,日,実績累計,91.0
2025-07,宿泊,営業状況,営業日数,日,実績累計,121.0
2025-08,宿泊,営業状況,営業日数,日,実績累計,152.0
2025-09,宿泊,営業状況,営業日数,日,実績累計,182.0
2025-10,宿泊,営業状況,営業日数,日,実績累計,213.0
2025-11,宿泊,営業状況,営業日数,日,実績累計,243.0
2025-12,宿泊,営業状況,営業日数,日,実績累計,274.0
2026-01,宿泊,営業状況,営業日数,日,実績累計,304.0
2026-02,宿泊,営業状況,営業日数,日,実績累計,320.0
2026-03,宿泊,営業状況,営業日数,日,実績累計,320.0
2025-04,宿泊,営業状況,営業日数,日,計画,30.0
2025-05,宿泊,営業状況,営業日数,日,計画,31.0
2025-06,宿泊,営業状況,営業日数,日,計画,30.0
2025-07,宿泊,営業状況,営業日数,日,計画,30.0
2025-08,宿泊,営業状況,営業日数,日,計画,31.0
2025-09,宿泊,営業状況,営業日数,日,計画,30.0
2025-10,宿泊,営業状況,営業日数,日,計画,31.0
2025-11,宿泊,営業状況,営業日数,日,計画,30.0
2025-12,宿泊,営業状況,営業日数,日,計画,31.0
2026-01,宿泊,営業状況,営業日数,日,計画,30.0
2026-02,宿泊,営業状況,営業日数,日,計画,28.0
2026-03,宿泊,営業状況,営業日数,日,計画,31.0
2025-04,宿泊,営業状況,営業日数,日,計画累計,30.0
2025-05,宿泊,営業状況,営業日数,日,計画累計,61.0
2025-06,宿泊,営業状況,営業日数,日,計画累計,91.0
2025-07,宿泊,営業状況,営業日数,日,計画累計,121.0
2025-08,宿泊,営業状況,営業日数,日,計画累計,152.0
2025-09,宿泊,営業状況,営業日数,日,計画累計,182.0
2025-10,宿泊,営業状況,営業日数,日,計画累計,213.0
2025-11,宿泊,営業状況,営業日数,日,計画累計,243.0
2025-12,宿泊,営業状況,営業日数,日,計画累計,274.0
2026-01,宿泊,営業状況,営業日数,日,計画累計,304.0
2026-02,宿泊,営業状況,営業日数,日,計画累計,332.0
2026-03,宿泊,営業状況,営業日数,日,計画累計,363.0
2025-04,宿泊,営業状況,定員,人,実績,2640.0
2025-05,宿泊,営業状況,定員,人,実績,2728.0
2025-06,宿泊,営業状況,定員,人,実績,2640.0
2025-07,宿泊,営業状況,定員,人,実績,2640.0
2025-08,宿泊,営業状況,定員,人,実績,2728.0
2025-09,宿泊,営業状況,定員,人,実績,2640.0
2025-10,宿泊,営業状況,定員,人,実績,2728.0
2025-11,宿泊,営業状況,定員,人,実績,2640.0
2025-12,宿泊,営業状況,定員,人,実績,2728.0
2026-01,宿泊,営業状況,定員,人,実績,2640.0
2026-02,宿泊,営業状況,定員,人,実績,1408.0
2026-03,宿泊,営業状況,定員,人,実績,0.0
2025-04,宿泊,営業状況,定員,人,実績累計,2640.0
2025-05,宿泊,営業状況,定員,人,実績累計,5368.0
2025-06,宿泊,営業状況,定員,人,実績累計,8008.0
2025-07,宿泊,営業状況,定員,人,実績累計,10648.0
2025-08,宿泊,営業状況,定員,人,実績累計,13376.0
2025-09,宿泊,営業状況,定員,人,実績累計,16016.0
2025-10,宿泊,営業状況,定員,人,実績累計,18744.0
2025-11,宿泊,営業状況,定員,人,実績累計,21384.0
2025-12,宿泊,営業状況,定員,人,実績累計,24112.0
2026-01,宿泊,営業状況,定員,人,実績累計,26752.0
2026-02,宿泊,営業状況,定員,人,実績累計,28160.0
2026-03,宿泊,営業状況,定員,人,実績累計,28160.0
2025-04,宿泊,営業状況,定員,人,計画,2640.0
